chr	pos	strand	context	ratio	eff_CT_count	C_count	CT_count	rev_G_count	rev_GA_count	CI_lower	CI_upper
1	10497	+	CG	0.948	77.00	73	77	0	0	0.874	0.980
1	10502	+	CHG	0.000	77.00	0	77	0	0	0.000	0.048
1	10506	+	CHH	0.000	77.00	0	77	0	0	0.000	0.048
1	10507	+	CHG	0.000	77.00	0	77	0	0	0.000	0.048
1	10517	+	CHG	0.000	77.00	0	77	0	0	0.000	0.048
1	10522	+	CHH	0.000	77.00	0	77	0	0	0.000	0.048
1	10524	+	CHG	0.000	76.00	0	76	0	0	0.000	0.048
1	10525	+	CG	0.831	77.00	64	77	0	0	0.732	0.899
1	10564	-	CG	0.768	56.00	43	56	0	0	0.642	0.859
1	10567	-	CHG	0.000	56.00	0	56	0	0	0.000	0.064
1	10572	-	CG	0.750	56.00	42	56	0	0	0.623	0.845
1	10578	-	CG	0.679	56.00	38	56	0	0	0.548	0.786
1	10580	-	CG	0.661	56.00	37	56	0	0	0.530	0.771
1	10581	-	CHG	0.000	56.00	0	56	0	0	0.000	0.064
1	10583	-	CHH	0.018	56.00	1	56	0	0	0.003	0.094
1	10589	+	CG	0.929	28.00	26	28	56	56	0.774	0.980
1	10590	-	CG	0.893	56.00	50	56	28	28	0.785	0.950
1	10594	+	CHG	0.000	28.00	0	28	0	0	0.000	0.121
1	10599	+	CHG	0.000	28.00	0	28	0	0	0.000	0.121
1	10609	+	CG	0.893	28.00	25	28	0	0	0.728	0.963
1	10611	+	CHH	0.000	28.00	0	28	0	0	0.000	0.121
1	10614	+	CHH	0.000	28.00	0	28	0	0	0.000	0.121
1	10616	+	CHG	0.000	28.00	0	28	0	0	0.000	0.121
1	10617	+	CG	0.929	28.00	26	28	0	0	0.774	0.980
1	10641	+	CG	0.769	13.00	10	13	0	0	0.497	0.918
1	10643	-	CHG	0.000	12.00	0	12	13	13	0.000	0.243
1	10644	+	CG	1.000	13.00	13	13	12	12	0.772	1.000
1	10645	-	CG	0.917	12.00	11	12	13	13	0.646	0.985
1	10646	+	CHG	0.000	13.00	0	13	12	12	0.000	0.228
1	10648	-	CHG	0.000	12.00	0	12	13	13	0.000	0.243
1	10649	-	CHH	0.000	12.00	0	12	13	13	0.000	0.243
1	10650	+	CG	0.923	13.00	12	13	12	12	0.667	0.986
1	10651	-	CG	1.000	12.00	12	12	13	13	0.757	1.000
1	10652	+	CHG	0.084	11.92	1	13	11	12	0.015	0.356
1	10654	-	CHG	0.000	12.00	0	12	13	13	0.000	0.243
